140
0 32
0 37
0 51
0 72
1 29
1 30
1 47
1 67
1 81
1 129
2 12
2 57
2 79
2 118
3 11
3 34
3 67
3 91
3 94
3 107
4 6
4 52
4 53
4 55
4 67
4 82
4 89
4 102
4 138
5 28
5 29
5 43
5 126
6 59
6 78
6 109
7 13
7 36
7 72
7 85
7 92
7 100
7 137
8 22
8 39
8 89
9 53
9 58
9 124
10 92
10 103
10 107
11 71
11 111
11 120
12 66
12 77
12 93
13 51
13 80
13 91
13 110
14 20
14 24
14 119
14 122
15 30
15 71
15 76
15 78
16 71
16 97
17 27
17 41
17 52
17 103
17 115
18 110
18 115
19 23
19 45
20 21
20 31
20 50
20 100
21 43
21 106
22 25
22 64
22 83
22 100
22 128
23 46
23 57
23 60
23 80
23 96
23 99
23 105
23 112
24 41
24 56
24 84
24 101
24 127
25 50
25 65
26 67
27 39
27 43
27 82
27 128
28 29
28 67
28 93
28 95
28 105
28 106
29 60
29 87
29 101
29 127
30 107
30 130
31 100
31 126
32 71
32 80
32 100
32 118
33 38
33 46
33 125
33 135
34 137
35 67
35 79
35 84
36 37
37 58
37 121
38 80
38 137
39 108
40 41
40 47
40 73
40 137
41 49
41 60
41 84
41 89
41 134
42 95
42 113
43 86
43 122
44 52
44 98
44 121
44 133
45 77
45 100
45 115
46 48
46 62
46 66
46 103
47 97
48 110
50 57
51 102
51 119
51 125
52 86
52 135
53 74
53 117
53 134
54 84
54 99
54 104
54 131
55 73
55 85
56 70
56 128
57 74
57 106
58 70
58 84
58 101
58 129
59 76
59 103
60 127
60 130
61 89
61 114
61 129
62 108
63 108
64 90
64 121
64 136
65 67
66 106
66 108
67 100
67 118
68 87
68 94
68 123
68 126
68 130
69 71
69 78
70 82
70 90
71 94
72 76
72 78
72 137
73 106
74 100
74 103
74 124
75 100
75 113
76 128
77 99
82 83
82 128
82 132
83 95
83 118
83 119
83 123
83 130
86 118
87 97
87 129
88 119
88 135
89 94
89 111
90 100
90 122
91 92
91 103
92 136
93 100
93 120
94 114
94 121
94 134
95 119
96 136
96 139
98 125
98 128
100 119
101 113
101 121
102 128
102 133
105 134
108 133
109 111
110 131
111 118
112 129
116 130
117 125
120 128
120 136
122 123
124 137
125 127
125 139
