60
0 20
0 21
0 24
0 29
0 38
0 53
0 57
1 15
1 42
1 45
1 46
1 56
2 31
2 51
2 53
3 16
3 23
3 34
3 40
4 15
5 17
5 22
5 27
5 33
5 54
6 15
6 21
6 45
6 47
7 18
7 25
8 24
8 26
8 28
9 42
9 46
9 49
10 21
10 23
10 36
10 39
10 49
10 55
11 19
11 39
11 51
12 56
13 40
13 53
14 17
14 59
15 28
15 30
16 18
16 21
16 22
16 23
16 32
16 37
16 45
16 55
16 58
17 51
18 24
18 41
18 45
18 47
18 53
19 48
19 56
20 24
20 29
20 34
20 42
20 51
21 35
21 41
21 48
21 52
22 23
22 24
22 31
22 45
23 38
23 49
23 58
24 53
25 28
25 31
25 51
25 52
25 54
26 42
26 47
26 55
27 59
28 51
28 55
30 34
30 42
33 40
33 41
36 37
37 40
38 50
39 52
40 41
40 59
41 47
42 57
43 50
44 48
44 57
45 53
45 54
46 50
49 55
49 59
51 55
52 58
